Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-06-13,Grown Ups,2010,https://boxd.it/4n1HCt,,,,2023-06-12
2023-06-20,Over the Hedge,2006,https://boxd.it/4oMmxl,4.5,Yes,w/ meagan,2023-06-19
2023-06-30,GoodFellas,1990,https://boxd.it/4rMk9X,4.5,Yes,w/ lukas,2023-06-29
2023-07-02,The Watch,2012,https://boxd.it/4shuhp,,,"w/ lukas, w/ meagan",2023-07-01
2023-07-02,Hot Summer Nights,2017,https://boxd.it/4sneBb,,,w/ meagan,2023-07-01
2023-07-07,The Worst Person in the World,2021,https://boxd.it/4tLHDn,4.5,,w/ lukas,2023-07-06
2023-07-13,Fury,2014,https://boxd.it/4vJ32l,,,w/ meagan,2023-07-11
2023-07-14,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4vRYN5,,,"w/ meagan, in theater",2023-07-13
2023-07-19,Annihilation,2018,https://boxd.it/4xuD9l,,,w/ meagan,2023-07-18
2023-07-19,Synchronic,2019,https://boxd.it/4xAUoT,,,w/ meagan,2023-07-19
2023-07-21,Vivarium,2019,https://boxd.it/4yg8sx,,,w/ meagan,2023-07-21
2023-08-03,Oppenheimer,2023,https://boxd.it/4Drm39,,,"in theater, w/ lukas, w/ meagan",2023-08-02
2023-08-05,ERASED,2016,https://boxd.it/4DVXk7,,,w/ lukas,2023-08-04
2023-08-06,Cyberpunk: Edgerunners,2022,https://boxd.it/4Err91,4,,w/ lukas,2023-08-05
2023-08-10,Sonny Boy,2021,https://boxd.it/4FLONH,4.5,,w/ lukas,2023-08-09
2023-08-11,Barbie,2023,https://boxd.it/4G7MMh,4.5,,"w/ meagan, w/ lukas",2023-08-11
2023-08-17,Rubber,2010,https://boxd.it/4I6A6z,,,w/ lukas,2023-08-17
2023-08-24,Steins;Gate,2011,https://boxd.it/4KhWPL,,,w/ lukas,2023-08-24
2023-09-10,Kick-Ass,2010,https://boxd.it/4PltVX,,,,2023-09-10
